r,obs,theo,lo,hi
2827.0597142448532,5227.85241483979,2827.0597142448532,2813.8820291656602,2838.4090278365056
2869.8939523394724,5270.544022861483,2869.8939523394724,2855.8770095976943,2882.0916019520278
2912.728190434091,5312.803286882109,2912.728190434091,2899.844818714907,2923.5102417475837
2955.5624285287104,5354.989929313146,2955.5624285287104,2942.816929609377,2966.183434183685
2998.396666623329,5395.66760660286,2998.396666623329,2985.6415513851625,3010.6584064098683
3041.2309047179483,5436.978332526811,3041.2309047179483,3027.2457675797027,3054.6624828861836
3084.065142812567,5479.127190774066,3084.065142812567,3070.346684797365,3095.29413160948
3126.8993809071862,5523.328068371515,3126.8993809071862,3112.861938387805,3138.8089108085214
3169.733619001805,5566.0390247829055,3169.733619001805,3155.2336713758496,3183.2459688961126
3212.567857096424,5607.525386870747,3212.567857096424,3197.292118350462,3226.1494133759143
3255.4020951910434,5648.170561632933,3255.4020951910434,3241.6194165022143,3268.200573333546
3298.236333285662,5689.216364301874,3298.236333285662,3283.621141966187,3311.808979528076
3341.0705713802813,5732.351570714832,3341.0705713802813,3326.8261874398845,3356.5854588118923
3383.9048094749,5773.6636485941,3383.9048094749,3369.872785263464,3397.6183283910223
3426.7390475695192,5814.237965292724,3426.7390475695192,3412.7635589884044,3439.2614032124575
3469.573285664138,5854.993409344661,3469.5732856641375,3454.8909684214123,3482.749412968318
3512.407523758757,5901.8858261032265,3512.4075237587567,3499.225287354634,3526.0051276775007
3555.241761853376,5942.439927835045,3555.241761853376,3542.543744038453,3570.2397564557828
3598.075999947995,5980.337457214556,3598.075999947995,3584.739699314652,3611.8599640483308
3640.910238042614,6019.285878695155,3640.9102380426143,3627.901473123189,3656.104370417888
3683.744476137233,6058.216150129851,3683.744476137233,3670.1485633176007,3698.690139990293
3726.5787142318522,6095.732923886197,3726.5787142318522,3712.1942297351357,3741.2074444105106
3769.412952326471,6135.159810297205,3769.412952326471,3756.738276922813,3785.3200118808654
3812.24719042109,6174.012350880569,3812.24719042109,3798.3460716682434,3827.0886131785614
3855.081428515709,6212.061230895297,3855.081428515709,3841.273297857144,3869.228499618004
3897.915666610328,6251.009731327422,3897.9156666103277,3884.1638192441674,3912.5663188465323
3940.749904704947,6288.0529637841155,3940.749904704947,3926.2068225487383,3956.357391921441
3983.584142799566,6331.605384019401,3983.584142799566,3968.923562833581,4001.9871305637716
4026.418380894185,6371.278680412446,4026.418380894185,4011.7424357852797,4045.564507133271
4069.252618988804,6409.106767329725,4069.252618988804,4053.0694834864694,4088.7733781951065
4112.086857083423,6446.39467608523,4112.086857083423,4095.5823079173565,4132.831002043504
4154.921095178042,6484.667251579601,4154.921095178042,4138.372314975501,4175.564399264972
4197.755333272661,6522.792772970076,4197.755333272661,4181.757636518043,4218.128392945118
4240.58957136728,6559.342496188031,4240.58957136728,4225.672534401124,4260.8263326117985
4283.423809461899,6596.101909382525,4283.423809461899,4267.366804082678,4302.469435900285
4326.258047556518,6632.902805378396,4326.258047556518,4310.343266072569,4345.20727173006
4369.092285651137,6669.283124792198,4369.092285651137,4354.036538469939,4387.420340865503
4411.926523745756,6707.281776939142,4411.926523745756,4396.506672853956,4431.700345843965
4454.7607618403745,6746.3554515566975,4454.7607618403745,4436.541499335326,4475.985656597463
4497.594999934994,6784.675781082119,4497.594999934994,4479.984087901715,4519.412125220696
4540.429238029613,6821.984456508496,4540.429238029613,4524.859127353562,4561.019838351638
4583.263476124232,6864.8339597605855,4583.263476124232,4568.883192181199,4604.196079322342
4626.097714218851,6902.100536309288,4626.097714218851,4612.478846129632,4646.794891606217
